epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0402,1.55448,2.71146,1.79346,0.00713,1,0.26101,0.12357,1.06504,2.85982,1.34992,0.00016,0.00016,0.00016
2,38.985,0.95133,2.19476,1.21441,0.00713,1,0.46792,0.28925,0.91277,2.6355,1.17449,0.000333268,0.000333268,0.000333268
3,54.7717,0.65048,1.53936,1.04496,0.95558,0.46436,0.83522,0.72675,0.524,2.10771,0.91095,0.000499408,0.000499408,0.000499408
4,70.65,0.58408,1.19222,0.9699,0.77786,0.79856,0.82534,0.6753,0.56194,1.51312,0.95094,0.00065842,0.00065842,0.00065842
5,86.4262,0.53919,1.17942,0.95296,0.94362,0.71942,0.86008,0.72793,0.60683,1.36117,1.01038,0.000810304,0.000810304,0.000810304
6,102.375,0.57929,1.00634,0.97438,0.71056,0.65468,0.72879,0.59408,0.78616,1.71676,1.21739,0.00095506,0.00095506,0.00095506
7,118.331,0.55552,1.01269,0.93884,0.67473,0.6259,0.73432,0.64595,0.56284,1.89546,0.93364,0.00109269,0.00109269,0.00109269
8,134.276,0.84611,1.99813,1.19789,0.60602,0.60432,0.67496,0.5333,0.76491,3.19402,1.10358,0.00122319,0.00122319,0.00122319
9,150.189,0.62806,1.08306,1.02599,0.72473,0.6259,0.72337,0.50469,0.92276,2.51574,1.23375,0.00134656,0.00134656,0.00134656
10,166.085,0.5375,1.04665,0.96161,0.82531,0.53957,0.67285,0.44103,1.14627,2.56531,1.4501,0.0014628,0.0014628,0.0014628
11,182.022,0.52131,0.98024,0.94454,0.87773,0.4964,0.6444,0.46775,1.02131,2.4348,1.45687,0.00157192,0.00157192,0.00157192
12,197.827,0.53796,0.938,0.95478,0.89923,0.82014,0.90578,0.79155,0.57549,1.19983,0.93176,0.0015644,0.0015644,0.0015644
13,213.655,0.51031,0.85094,0.92467,0.80918,0.8542,0.88105,0.79469,0.51574,1.28923,0.93457,0.0015248,0.0015248,0.0015248
14,229.521,0.49795,0.82976,0.91387,0.80002,0.79856,0.87097,0.78053,0.49329,1.4386,0.91729,0.0014852,0.0014852,0.0014852
15,245.401,0.58943,0.91884,0.97506,0.82212,0.86331,0.91172,0.82886,0.4844,1.32291,0.88159,0.0014456,0.0014456,0.0014456
16,261.204,0.51455,1.012,0.9296,0.86369,0.8705,0.9326,0.83021,0.48095,1.20636,0.88847,0.001406,0.001406,0.001406
17,277.115,0.50222,0.81502,0.93924,0.88684,0.78936,0.88817,0.79247,0.51914,1.29698,0.92006,0.0013664,0.0013664,0.0013664
18,292.899,0.51144,0.84395,0.92821,0.86373,0.82734,0.91383,0.78876,0.52285,1.22859,0.91696,0.0013268,0.0013268,0.0013268
19,308.767,0.46404,0.751,0.93582,0.82408,0.89209,0.93155,0.83221,0.42632,1.33025,0.87012,0.0012872,0.0012872,0.0012872
20,324.342,0.43692,0.79345,0.89125,0.89098,0.88199,0.95094,0.87303,0.40991,1.00461,0.87369,0.0012476,0.0012476,0.0012476
21,339.958,0.43287,0.77832,0.91478,0.9522,0.85987,0.96052,0.8905,0.41718,0.81531,0.86925,0.001208,0.001208,0.001208
22,355.524,0.44881,0.74946,0.92924,0.90842,0.92806,0.95772,0.88448,0.41461,0.79441,0.85983,0.0011684,0.0011684,0.0011684
23,371.228,0.41762,0.69441,0.89406,0.89983,0.94245,0.96295,0.90079,0.39728,0.78055,0.84084,0.0011288,0.0011288,0.0011288
24,386.849,0.44503,0.66335,0.90181,0.89812,0.95134,0.95921,0.90013,0.39241,0.75369,0.84305,0.0010892,0.0010892,0.0010892
25,402.462,0.40454,0.70209,0.88074,0.89325,0.9632,0.97437,0.93025,0.36472,0.68525,0.83233,0.0010496,0.0010496,0.0010496
26,418.128,0.40132,0.7119,0.89291,0.94262,0.94545,0.98427,0.93423,0.36496,0.64231,0.83229,0.00101,0.00101,0.00101
27,433.855,0.41884,0.79747,0.87727,0.97814,0.96556,0.98896,0.92552,0.37659,0.64772,0.83086,0.0009704,0.0009704,0.0009704
28,449.507,0.40586,0.66298,0.88292,0.93106,0.97122,0.98287,0.91846,0.37,0.65664,0.82128,0.0009308,0.0009308,0.0009308
29,465.106,0.40476,0.6767,0.86985,0.95253,0.92806,0.97511,0.92119,0.35471,0.67511,0.81811,0.0008912,0.0008912,0.0008912
30,480.717,0.41031,0.73704,0.87641,0.92724,0.91685,0.97012,0.92669,0.33491,0.68283,0.81896,0.0008516,0.0008516,0.0008516
31,496.397,0.39696,0.63081,0.88663,0.91372,0.92086,0.96237,0.9126,0.33376,0.69831,0.82503,0.000812,0.000812,0.000812
32,512.124,0.39929,0.57974,0.86986,0.93475,0.92759,0.9739,0.92665,0.33073,0.63289,0.82278,0.0007724,0.0007724,0.0007724
33,527.881,0.39284,0.59759,0.86787,0.92317,0.95091,0.98077,0.94377,0.31954,0.59483,0.81979,0.0007328,0.0007328,0.0007328
34,543.824,0.37176,0.63355,0.90761,0.93033,0.97122,0.98286,0.94929,0.32314,0.57055,0.81714,0.0006932,0.0006932,0.0006932
35,559.769,0.389,0.60062,0.85909,0.95504,0.96403,0.98347,0.94589,0.32452,0.56064,0.80864,0.0006536,0.0006536,0.0006536
36,575.526,0.39687,0.58891,0.88348,0.95593,0.96403,0.98434,0.94997,0.32658,0.56064,0.81069,0.000614,0.000614,0.000614
37,591.234,0.37403,0.5987,0.89225,0.95569,0.96403,0.98584,0.95678,0.31664,0.55873,0.80815,0.0005744,0.0005744,0.0005744
38,606.893,0.3072,0.54252,0.87721,0.93589,0.97842,0.98757,0.95777,0.30082,0.54326,0.8019,0.0005348,0.0005348,0.0005348
39,622.48,0.32611,0.52197,0.86101,0.92865,0.97842,0.98811,0.95454,0.2974,0.53163,0.797,0.0004952,0.0004952,0.0004952
40,638.104,0.34947,0.55472,0.86917,0.95093,0.976,0.98953,0.95542,0.30307,0.51935,0.7967,0.0004556,0.0004556,0.0004556
41,653.459,0.39832,1.0238,0.86792,0.94494,0.98784,0.99079,0.95954,0.30577,0.51683,0.79821,0.000416,0.000416,0.000416
42,668.787,0.33307,0.68269,0.8511,0.94467,0.98262,0.99173,0.96552,0.30145,0.51895,0.79859,0.0003764,0.0003764,0.0003764
43,684.114,0.29922,0.68949,0.82153,0.99002,0.94245,0.99236,0.96348,0.29173,0.61117,0.79922,0.0003368,0.0003368,0.0003368
44,699.424,0.36604,0.72376,0.88459,0.98213,0.95683,0.98797,0.95467,0.29902,0.66671,0.80186,0.0002972,0.0002972,0.0002972
45,714.856,0.32799,0.62845,0.85471,0.99107,0.95683,0.98672,0.95821,0.2924,0.64153,0.79975,0.0002576,0.0002576,0.0002576
46,730.32,0.31609,0.63285,0.84414,0.97814,0.96563,0.98859,0.96275,0.28364,0.59029,0.79578,0.000218,0.000218,0.000218
47,745.719,0.30368,0.59771,0.83823,0.97572,0.96403,0.99101,0.96614,0.27559,0.54596,0.79142,0.0001784,0.0001784,0.0001784
48,761.103,0.30756,0.62329,0.84658,0.95449,0.98561,0.99135,0.96543,0.27157,0.51619,0.78881,0.0001388,0.0001388,0.0001388
49,776.501,0.26454,0.64208,0.85176,0.95135,0.98561,0.99115,0.96416,0.26994,0.49798,0.78673,9.92e-05,9.92e-05,9.92e-05
50,791.95,0.28311,0.55304,0.8092,0.95168,0.98561,0.99135,0.96408,0.26887,0.48924,0.78643,5.96e-05,5.96e-05,5.96e-05
