epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4267,1.61775,2.77974,1.8292,0.00638,0.97101,0.14211,0.03985,1.51699,3.21464,1.85395,8e-05,8e-05,8e-05
2,24.3362,1.18638,2.54987,1.47502,0.00657,1,0.2066,0.1062,0.89564,2.82391,1.19352,0.000176436,0.000176436,0.000176436
3,33.2147,0.76464,2.18666,1.20433,0.00657,1,0.29182,0.15033,0.88512,2.78357,1.18412,0.000268912,0.000268912,0.000268912
4,42.1708,0.72345,1.74612,1.09451,0.84633,0.08037,0.56454,0.38862,0.80066,2.52464,1.1136,0.000357428,0.000357428,0.000357428
5,51.054,0.66278,1.50418,1.09263,0.89303,0.60503,0.80505,0.62625,0.54195,2.06571,0.91255,0.000441984,0.000441984,0.000441984
6,59.942,0.64116,1.38494,1.04326,0.68237,0.6087,0.70333,0.56303,0.49569,2.01248,0.86947,0.00052258,0.00052258,0.00052258
7,68.7401,0.55836,1.44147,1.0285,0.83326,0.86909,0.86999,0.74405,0.52895,1.53606,0.92227,0.000599216,0.000599216,0.000599216
8,77.6951,0.55865,1.14721,0.96829,0.86415,0.84058,0.88918,0.77145,0.5024,1.41984,0.90695,0.000671892,0.000671892,0.000671892
9,86.5955,0.59058,1.14589,0.96734,0.94717,0.7971,0.87226,0.75109,0.52305,1.44416,0.89564,0.000740608,0.000740608,0.000740608
10,95.7583,0.61109,1.11955,0.99406,1,0.7081,0.83011,0.73669,0.46567,1.5052,0.83317,0.000805364,0.000805364,0.000805364
11,104.697,0.59716,1.04117,0.99181,0.94011,0.68248,0.82614,0.73074,0.5373,1.49556,0.84254,0.00086616,0.00086616,0.00086616
12,114.94,0.55775,1.18792,0.96996,0.85052,0.65976,0.79771,0.69992,0.5556,1.53018,0.87109,0.000922996,0.000922996,0.000922996
13,124.018,0.57984,1.12264,0.97971,0.82487,0.68266,0.79436,0.62039,0.66375,1.7494,0.93675,0.000975872,0.000975872,0.000975872
14,132.911,0.5709,1.10551,0.96217,0.82487,0.68266,0.79436,0.62039,0.66375,1.7494,0.93675,0.00102479,0.00102479,0.00102479
15,141.97,0.61342,1.08568,0.99045,0.80602,0.73913,0.82558,0.6997,0.557,1.57782,0.91772,0.00106974,0.00106974,0.00106974
16,150.956,0.53429,1.09338,0.99913,0.83378,0.81159,0.85162,0.75463,0.49251,1.49883,0.86866,0.00111074,0.00111074,0.00111074
17,160.047,0.56298,1.00953,0.94239,0.94318,0.66667,0.81131,0.718,0.52023,1.49045,0.85366,0.00114778,0.00114778,0.00114778
18,169.021,0.60981,1.07967,0.99615,0.94318,0.66667,0.81131,0.718,0.52023,1.49045,0.85366,0.00118085,0.00118085,0.00118085
19,178.245,0.52211,0.99637,0.95953,0.7529,0.71014,0.74779,0.6469,0.55063,1.55284,0.86981,0.00120997,0.00120997,0.00120997
20,187.329,0.52518,1.01457,0.92751,0.85881,0.7934,0.88263,0.70493,0.56835,1.39318,0.88518,0.00123512,0.00123512,0.00123512
21,196.208,0.54642,1.12686,0.97326,0.85881,0.7934,0.88263,0.70493,0.56835,1.39318,0.88518,0.001208,0.001208,0.001208
22,205.201,0.54152,0.89812,0.96643,0.94326,0.72279,0.8759,0.76695,0.56033,1.41807,0.89352,0.0011684,0.0011684,0.0011684
23,213.967,0.54105,0.91726,0.9613,0.85443,0.76563,0.84941,0.77223,0.50243,1.33796,0.84505,0.0011288,0.0011288,0.0011288
24,1465.79,0.56227,0.99741,1.0169,0.85443,0.76563,0.84941,0.77223,0.50243,1.33796,0.84505,0.0010892,0.0010892,0.0010892
25,1474.91,0.50579,0.90709,0.94918,0.85016,0.82233,0.85331,0.78357,0.54693,1.28909,0.85041,0.0010496,0.0010496,0.0010496
26,1493.08,0.53638,1.04677,0.96904,0.85016,0.82233,0.85331,0.78357,0.54693,1.28909,0.85041,0.00101,0.00101,0.00101
27,1501.99,0.46693,0.83286,0.9266,0.92422,0.7971,0.86972,0.80722,0.49138,1.19906,0.83535,0.0009704,0.0009704,0.0009704
28,1510.73,0.50241,0.96408,1.0072,0.91457,0.82609,0.87945,0.81113,0.44739,1.09248,0.83532,0.0009308,0.0009308,0.0009308
29,1519.56,0.47248,0.84988,0.92759,0.91457,0.82609,0.87945,0.81113,0.44739,1.09248,0.83532,0.0008912,0.0008912,0.0008912
30,1528.37,0.43329,0.86123,0.92883,0.90951,0.87404,0.94124,0.86367,0.408,0.98961,0.8057,0.0008516,0.0008516,0.0008516
31,1537.23,0.4288,0.78187,0.92084,0.89009,0.93895,0.96653,0.91508,0.35114,0.9179,0.7752,0.000812,0.000812,0.000812
32,1584.5,0.44201,0.78826,0.89333,0.89009,0.93895,0.96653,0.91508,0.35114,0.9179,0.7752,0.0007724,0.0007724,0.0007724
33,1593.34,0.38329,0.7299,0.87904,0.90348,0.94971,0.972,0.91361,0.33931,0.85108,0.76613,0.0007328,0.0007328,0.0007328
34,1602.16,0.4229,0.80156,0.93569,0.90348,0.94971,0.972,0.91361,0.33931,0.85108,0.76613,0.0006932,0.0006932,0.0006932
35,1611.09,0.40077,0.74781,0.88406,0.88613,0.90229,0.96818,0.90759,0.33142,0.84276,0.75555,0.0006536,0.0006536,0.0006536
36,1619.83,0.43535,0.78565,0.89531,0.89701,0.8836,0.95765,0.90374,0.33658,0.82636,0.76012,0.000614,0.000614,0.000614
37,1628.79,0.3836,0.69612,0.88017,0.89701,0.8836,0.95765,0.90374,0.33658,0.82636,0.76012,0.0005744,0.0005744,0.0005744
38,1637.48,0.38281,0.73576,0.92523,0.89424,0.89855,0.95953,0.92243,0.32197,0.79059,0.75505,0.0005348,0.0005348,0.0005348
39,1646.34,0.42555,0.7498,0.93156,0.90154,0.92898,0.96776,0.93303,0.29511,0.75335,0.74768,0.0004952,0.0004952,0.0004952
40,1655.1,0.35653,0.70613,0.90242,0.90154,0.92898,0.96776,0.93303,0.29511,0.75335,0.74768,0.0004556,0.0004556,0.0004556
41,1663.82,0.38684,0.93404,0.88875,0.90612,0.92754,0.97418,0.93806,0.28837,0.75812,0.75408,0.000416,0.000416,0.000416
42,1672.4,0.34639,0.82208,0.85871,0.90612,0.92754,0.97418,0.93806,0.28837,0.75812,0.75408,0.0003764,0.0003764,0.0003764
43,1681.08,0.35202,0.85304,0.87224,0.92045,0.95652,0.97809,0.93823,0.28441,0.77201,0.76185,0.0003368,0.0003368,0.0003368
44,1689.78,0.40772,0.91556,0.97404,0.92004,0.95652,0.98048,0.94325,0.28725,0.78194,0.76578,0.0002972,0.0002972,0.0002972
45,1698.37,0.35694,0.84465,0.9212,0.92004,0.95652,0.98048,0.94325,0.28725,0.78194,0.76578,0.0002576,0.0002576,0.0002576
46,1707.13,0.34917,0.8533,0.87698,0.91791,0.97228,0.98211,0.94475,0.2814,0.77801,0.75853,0.000218,0.000218,0.000218
47,1715.76,0.35994,0.85252,0.91746,0.91559,0.98551,0.98154,0.94175,0.26397,0.76781,0.74373,0.0001784,0.0001784,0.0001784
48,1724.49,0.3527,0.83466,0.86436,0.91559,0.98551,0.98154,0.94175,0.26397,0.76781,0.74373,0.0001388,0.0001388,0.0001388
49,1733.14,0.35056,0.82773,0.84911,0.91394,0.98551,0.98135,0.95015,0.24978,0.74392,0.73139,9.92e-05,9.92e-05,9.92e-05
50,1741.83,0.3759,1.09728,0.95792,0.91394,0.98551,0.98135,0.95015,0.24978,0.74392,0.73139,5.96e-05,5.96e-05,5.96e-05
